               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085239,            0.045196,                   0,             0.53567,              0.5718,             0.52882,             0.19686,            0.057365,             0.02757,                   0,            0.070082,           0.0033242,           0.0033242
                   1,            0.058579,            0.041346,                   0,             0.77443,             0.69786,             0.75012,             0.34062,            0.046315,            0.027453,                   0,             0.03995,           0.0065257,           0.0065257
                   2,            0.052842,            0.040356,                   0,             0.79856,             0.74465,             0.79732,             0.36991,            0.044799,            0.026398,                   0,           0.0096866,           0.0095952,           0.0095952
                   3,            0.047907,              0.0395,                   0,             0.83365,             0.76112,             0.83535,             0.44096,            0.040261,            0.025511,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.044866,             0.03802,                   0,             0.85492,             0.76552,             0.84734,             0.45574,            0.038807,            0.025309,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.043695,            0.038117,                   0,              0.8379,             0.76377,             0.83409,             0.43845,            0.040006,            0.026509,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.042245,            0.037493,                   0,             0.86639,             0.80483,              0.8707,             0.48838,            0.036497,            0.023913,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.041474,            0.036889,                   0,             0.85985,              0.8036,             0.87213,             0.48042,            0.036886,            0.024063,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.041009,            0.036994,                   0,             0.87248,             0.81099,              0.8823,             0.50556,            0.035709,            0.023648,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.040426,            0.037033,                   0,             0.87307,              0.8133,             0.87935,             0.50527,            0.035138,            0.023398,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.039936,            0.036702,                   0,             0.86379,             0.81484,             0.88285,             0.49874,            0.035765,            0.023619,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039518,            0.036095,                   0,              0.8594,             0.81361,             0.87482,             0.50225,            0.035153,            0.023692,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.038908,            0.035985,                   0,             0.85603,             0.78157,              0.8537,             0.48077,            0.037381,            0.025059,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.038829,            0.036039,                   0,             0.88253,             0.82238,             0.89092,             0.52466,            0.034137,            0.022843,                   0,            0.007624,            0.007624,            0.007624
                  14,              0.0384,            0.035088,                   0,              0.8844,             0.82869,             0.89679,              0.5247,            0.034179,             0.02293,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.037994,            0.035546,                   0,             0.88483,             0.82623,             0.89243,             0.53713,             0.03349,            0.022727,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.037821,            0.036037,                   0,             0.88394,             0.84485,             0.90256,             0.53644,            0.033261,            0.022604,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.037665,            0.034927,                   0,             0.87401,             0.83711,             0.89476,             0.53067,            0.033732,            0.022703,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.037297,            0.034741,                   0,              0.8764,             0.85016,             0.90507,              0.5292,            0.033816,            0.022744,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.037219,            0.035292,                   0,              0.8926,               0.831,             0.90467,              0.5344,            0.033419,            0.022467,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.036809,            0.034832,                   0,             0.89525,             0.83793,             0.90694,             0.54151,            0.033088,             0.02223,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.036954,            0.034741,                   0,             0.88501,             0.84731,             0.90498,             0.54609,            0.032669,            0.022247,                   0,             0.00604,             0.00604,             0.00604
                  22,              0.0367,            0.034624,                   0,             0.88696,             0.86009,               0.911,             0.54429,            0.032641,            0.022231,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.036495,            0.034782,                   0,             0.88707,             0.85721,             0.91155,             0.55222,            0.032403,            0.022002,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.036159,            0.034275,                   0,             0.88873,             0.85501,             0.91189,             0.54464,            0.033054,            0.022345,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.035839,            0.034125,                   0,              0.8978,              0.8567,             0.91566,             0.55456,            0.032118,            0.021926,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.035845,            0.033674,                   0,             0.89738,             0.85067,             0.91586,             0.55891,            0.032226,            0.021799,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03571,              0.0334,                   0,             0.89885,              0.8576,             0.91654,             0.56177,            0.031899,            0.021607,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.035599,             0.03379,                   0,             0.88658,             0.86963,              0.9174,             0.55156,            0.032385,            0.021987,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.035195,            0.033341,                   0,             0.89165,             0.87533,              0.9226,             0.57525,            0.030928,            0.021273,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.035246,              0.0334,                   0,             0.89845,             0.87333,             0.92317,             0.56727,            0.031096,            0.021449,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.035283,            0.033443,                   0,             0.89449,             0.87165,              0.9217,             0.56684,            0.031441,            0.021473,                   0,             0.00406,             0.00406,             0.00406
                  32,              0.0351,             0.03382,                   0,             0.90057,             0.87302,             0.92344,              0.5668,            0.031351,             0.02151,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.034749,            0.033313,                   0,              0.9025,             0.86917,             0.92113,             0.57338,            0.030876,            0.021223,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.034693,            0.033233,                   0,              0.8998,             0.87841,             0.92314,             0.56406,            0.031572,            0.021406,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.034427,            0.033233,                   0,             0.90353,             0.88195,             0.92902,             0.58402,            0.030147,            0.020856,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.034351,             0.03351,                   0,             0.90845,             0.88428,             0.93064,              0.5753,            0.030622,            0.020947,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.034149,            0.033027,                   0,             0.90684,             0.88397,             0.93229,             0.58373,            0.030296,            0.020876,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.033996,            0.032981,                   0,              0.9093,             0.88672,             0.93424,              0.5863,            0.030069,            0.020664,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.033627,            0.032387,                   0,             0.90623,              0.8898,             0.93309,             0.58989,            0.029806,             0.02054,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033465,            0.032385,                   0,             0.90644,             0.88595,             0.93284,             0.58674,            0.030101,            0.020648,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.033544,            0.032349,                   0,             0.91127,             0.89475,             0.93601,             0.58705,            0.030016,            0.020499,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.033119,            0.032647,                   0,             0.90753,             0.89276,             0.93589,             0.59477,            0.029565,            0.020385,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.033281,            0.032694,                   0,              0.9138,             0.89441,             0.93672,              0.5942,            0.029563,            0.020349,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.033008,            0.031548,                   0,              0.9088,             0.89749,             0.93717,             0.60297,            0.029032,            0.020135,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.032992,            0.032019,                   0,             0.90999,             0.89471,             0.93632,             0.60068,            0.029216,            0.020225,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.032844,            0.031596,                   0,             0.91289,             0.89226,             0.93624,             0.59783,            0.029399,            0.020199,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.032741,            0.032123,                   0,             0.91906,             0.89131,             0.93869,             0.59966,            0.029275,            0.020104,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03252,            0.031921,                   0,             0.91341,             0.89364,             0.93975,             0.60356,            0.029115,            0.020003,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.032215,            0.031545,                   0,             0.91502,             0.89703,             0.94047,             0.60246,            0.029124,            0.020086,                   0,            0.000496,            0.000496,            0.000496
